date,Kragujevac,Tallinn
01-01-20,2.575,0.920833333
02-01-20,3.7828125,4.081770833
03-01-20,4.802604167,2.213541667
04-01-20,5.244791667,1.963541667
05-01-20,6.652083333,3.5234375
06-01-20,5.075520833,1.684375
07-01-20,1.98125,-0.231770833
08-01-20,0.9,0.488541667
09-01-20,2.447916667,0.758854167
10-01-20,3.038541667,-1.494270833
11-01-20,2.406770833,-1.5859375
12-01-20,3.882291667,-5.341145833
13-01-20,1.8578125,-7.9578125
14-01-20,1.573958333,-7.184895833
15-01-20,-0.256770833,-8.865104167
16-01-20,-1.816666667,-8.6765625
17-01-20,-0.66875,-8.756770833
18-01-20,0.247916667,-5.4796875
19-01-20,2.710416667,-2.728645833
20-01-20,5.8234375,-2.194270833
21-01-20,2.2765625,-3.80625
22-01-20,2.51875,-4.482291667
23-01-20,5.202604167,-3.525
24-01-20,2.108333333,-2.55
25-01-20,-4.17E-02,4.302604167
26-01-20,-1.440625,3.345833333
27-01-20,-2.205729167,2.053645833
28-01-20,-4.980208333,0.386458333
29-01-20,-6.708333333,0.5296875
30-01-20,-14.08333333,-1.272395833
31-01-20,-15.38177083,-2.303125
01-02-20,2.6984375,-0.746875
02-02-20,2.205208333,-3.870833333
03-02-20,2.128125,-7.301041667
04-02-20,7.01875,2.0265625
05-02-20,3.98125,1.4234375
06-02-20,3.1875,-1.782291667
07-02-20,0.680208333,-1.6390625
08-02-20,0.3265625,-4.858854167
09-02-20,-2.171354167,-5.721875
10-02-20,-0.497395833,-10.4109375
11-02-20,0.2265625,-10.50989583
12-02-20,-0.9640625,-11.46979167
13-02-20,0.2953125,-4.544791667
14-02-20,2.705729167,0.669791667
15-02-20,2.2859375,-0.788020833
16-02-20,0.490104167,-0.900520833
17-02-20,-0.705208333,-1.731770833
18-02-20,-3.5640625,-7.930729167
19-02-20,-0.868229167,-12.3171875
20-02-20,1.344791667,-2.3125
21-02-20,6.568229167,1.264583333
22-02-20,9.425,-3.875520833
23-02-20,10.80260417,-4.574479167
24-02-20,11.059375,-4.9171875
25-02-20,6.722395833,-2.509895833
26-02-20,5.534375,-1.003645833
27-02-20,6.852604167,-2.3359375
28-02-20,7.075520833,-3.846875
29-02-20,9.924479167,-4.8296875
01-03-20,8.400520833,-3.419270833
02-03-20,5.54375,-4.183854167
03-03-20,4.444270833,-4.933333333
04-03-20,1.0421875,-5.1203125
05-03-20,-1.416145833,-4.5
06-03-20,-1.950520833,-2.754166667
07-03-20,-1.041666667,-2.058333333
08-03-20,-0.947395833,0.321354167
09-03-20,-1.785416667,-0.680208333
10-03-20,2.046354167,-3.6484375
11-03-20,1.3109375,-4.068229167
12-03-20,2.951041667,-3.409895833
13-03-20,4.8484375,-0.9015625
14-03-20,5.3625,-0.498958333
15-03-20,6.255729167,0.957291667
16-03-20,4.284375,2.163020833
17-03-20,6.600520833,2.918229167
18-03-20,9.644791667,3.099479167
19-03-20,12.76979167,3.071875
20-03-20,15.26979167,2.872916667
21-03-20,14.58072917,1.258854167
22-03-20,11.83645833,0.6203125
23-03-20,9.9453125,0.957291667
24-03-20,12.75572917,1.990625
25-03-20,16.56041667,0.1265625
26-03-20,15.421875,-0.2296875
27-03-20,10.85520833,-0.861979167
28-03-20,11.6859375,1.528125
29-03-20,13.72760417,1.805208333
30-03-20,15.13854167,4.452604167
